Wirtschaftszweig;Anlagegüter;Nutzungsdauer (ND) i.J.;Linearer AfA-Satz v.H.
Druckereien und Verlagsunternehmen mit Druckerei;Stapelwendeapparate ;8;12
Druckereien und Verlagsunternehmen mit Druckerei;Transportbänder (Ferag, Müller-Martini) ;8;12
Druckereien und Verlagsunternehmen mit Druckerei;Umreifungsmaschinen ;8;12
Druckereien und Verlagsunternehmen mit Druckerei;Verpackungsmaschinen aller Art ;8;12
Druckereien und Verlagsunternehmen mit Druckerei;Verschnürmaschinen ;8;12
Druckereien und Verlagsunternehmen mit Druckerei;Vorsatzklebemaschinen ;8;12
Druckereien und Verlagsunternehmen mit Druckerei;Zählmaschinen ;8;12
Druckereien und Verlagsunternehmen mit Druckerei;Zusammentrag- und Zusammenführmaschinen ;8;12
Druckereien und Verlagsunternehmen mit Druckerei;Zwillingspressen ;8;12
Eisen-, Blech- und Metallwarenindustrie;Bearbeitungszentren (CNC);5;20
Eisen-, Blech- und Metallwarenindustrie;Mehrspindel-;6;17
Eisen-, Blech- und Metallwarenindustrie;Säulen- ;8;12
Eisen-, Blech- und Metallwarenindustrie;Tiefloch-;8;12
Eisen-, Blech- und Metallwarenindustrie;Revolver-;6;17
Eisen-, Blech- und Metallwarenindustrie;CNC-;5;20
Eisen-, Blech- und Metallwarenindustrie;Schraubenautomaten ;8;12
Eisen-, Blech- und Metallwarenindustrie;Bördel- und Beschneidemaschinen ;8;12
Eisen-, Blech- und Metallwarenindustrie;Drahtzieh- und Spulmaschinen ;8;12
Eisen-, Blech- und Metallwarenindustrie;Federwickelmaschinen ;8;12
Eisen-, Blech- und Metallwarenindustrie;Fall- ;8;12
Eisen-, Blech- und Metallwarenindustrie;Spann-;8;12
Eisen-, Blech- und Metallwarenindustrie;Kettenmaschinen (allgem.) ;8;12
Eisen-, Blech- und Metallwarenindustrie;Löffelwalzen;8;12
Eisen-, Blech- und Metallwarenindustrie;Maßabschneider;8;12
Eisen-, Blech- und Metallwarenindustrie;Nietenautomaten;6;17
Eisen-, Blech- und Metallwarenindustrie;Nietenmaschinen;8;12
Eisen-, Blech- und Metallwarenindustrie;Mehrstufen-;6;17
Eisen-, Blech- und Metallwarenindustrie;Zieh- ;6;17
Eisen-, Blech- und Metallwarenindustrie;Ronden-Stanzanlagen;8;12
Eisen-, Blech- und Metallwarenindustrie;Schraubautomaten ;6;17
Eisen-, Blech- und Metallwarenindustrie;Stanzautomaten (CNC);5;20
Eisen-, Blech- und Metallwarenindustrie;Verschließautomaten ;6;17
Eisen-, Blech- und Metallwarenindustrie;Verschließmaschinen ;8;12
Eisen-, Blech- und Metallwarenindustrie;Walzwerke ;8;12
Eisen-, Blech- und Metallwarenindustrie;Maschinen und Anlagen f.d. Oberflächenveredlung u.d. Wärmebehandlung(geschl. Anlagen) ;5;20
Eisen-, Blech- und Metallwarenindustrie;Beschichtungsanlagen ;6;17
Eisen-, Blech- und Metallwarenindustrie;Brünieranlagen ;5;20
Eisen-, Blech- und Metallwarenindustrie;Druckanlagen ;5;20
Eisen-, Blech- und Metallwarenindustrie;Bandverzinkung ;8;12
Eisen-, Blech- und Metallwarenindustrie;Stückverzinkung;6;17
Eisen-, Blech- und Metallwarenindustrie;Galvanisierungsanlagen ;5;20
Eisen-, Blech- und Metallwarenindustrie;Gleitschleif- und Polieranlagen ;5;20
Eisen-, Blech- und Metallwarenindustrie;Öfen (f.d. Wärmebehandlung) ;5;20
Eisen-, Blech- und Metallwarenindustrie;Ölrückkühlanlagen;5;20
Eisen-, Blech- und Metallwarenindustrie;Oxydationsanlagen;5;20
Eisen-, Blech- und Metallwarenindustrie;Siebdruckmaschinen;6;17
Eisen-, Blech- und Metallwarenindustrie;Absauganlagen (unter chem. oder therm. Einflüssen) ;5;20
Eisen-, Blech- und Metallwarenindustrie;Analysegeräte (chem.) ;5;20
Eisen-, Blech- und Metallwarenindustrie;Gummierautomaten ;5;20
Eisen-, Blech- und Metallwarenindustrie;Lötmaschinen ;8;12
Eisen-, Blech- und Metallwarenindustrie;Messer-Einbleimaschinen ;8;12
Eisen-, Blech- und Metallwarenindustrie;Schweißmaschinen (allgem.) ;7;14
Eisen-, Blech- und Metallwarenindustrie;Transportgeräte (unter chem. oder therm. Einflüssen);5;20
Eisen-, Stahl- u. Tempergießereien;Gießereigebäude ;25;4
Eisen-, Stahl- u. Tempergießereien;übrige Fabrikgebäude ;40;2,5
Eisen-, Stahl- u. Tempergießereien;für tongebundene Sandsysteme ;8;12
Eisen-, Stahl- u. Tempergießereien;für harzgebundene Sandsysteme;5;20
Eisen-, Stahl- u. Tempergießereien;Kernsandaufbereitungsanlagen ;5;20
Eisen-, Stahl- u. Tempergießereien;Vollautomatische Form- und Kernanlagen ;5;20
Eisen-, Stahl- u. Tempergießereien;Mechanische Form- und Kernmaschinen ;7;14
Eisen-, Stahl- u. Tempergießereien;Form- und Kernmaschinen für Handbetrieb ;10;10
Eisen-, Stahl- u. Tempergießereien;Form- und Kerntrockenkammern ;10;10
Eisen-, Stahl- u. Tempergießereien;Kupolofenanlagen (Heißwind und Kaltwind) ;10;10
Eisen-, Stahl- u. Tempergießereien;Elektroöfen;10;10
Eisen-, Stahl- u. Tempergießereien;Drehtrommelöfen;10;10
Eisen-, Stahl- u. Tempergießereien;Gattierungsanlagen;8;12
Eisen-, Stahl- u. Tempergießereien;Autom. Trocken- und Naßputzanlagen (Strahlanlagen) ;5;20
Eisen-, Stahl- u. Tempergießereien;Trennvorrichtungen ;4;25
Eisen-, Stahl- u. Tempergießereien;Schleifautomaten ;5;20
Eisen-, Stahl- u. Tempergießereien;Schleif- und Trennschleifmaschinen ;5;20
Eisen-, Stahl- u. Tempergießereien;Glüherei- und Härteanlagen für Gas, Elektrizität u. Öl ;7;14
Eisen-, Stahl- u. Tempergießereien;Teeranlagen;8;12
Eisen-, Stahl- u. Tempergießereien;Emaillieröfen;5;20
Eisen-, Stahl- u. Tempergießereien;Farbspritzanlagen und Tauchanlagen (einschl. Trocknung) ;8;12
Eisen-, Stahl- u. Tempergießereien;Holz- und Metallbearbeitungsmaschinen ;10;10
Eisen-, Stahl- u. Tempergießereien;Plattenbandförderer ;6;17
Eisen-, Stahl- u. Tempergießereien;Rollenbahnen ;6;17
Eisen-, Stahl- u. Tempergießereien;Standbahnen ;6;17
Eisen-, Stahl- u. Tempergießereien;Mechanische Ausleervorrichtungen ;6;17
Eisen-, Stahl- u. Tempergießereien;Kräne, soweit sie im Gießereibetrieb eingesetzt sind ;8;12
Eisen-, Stahl- u. Tempergießereien;Gieß-Hängebahnen, Vergießeinrichtungen ;8;12
Eisen-, Stahl- u. Tempergießereien;Bewegl. Förderbrücken mit Bändern ;5;20
Eisen-, Stahl- u. Tempergießereien;Elektrozüge ;8;12
Eisen-, Stahl- u. Tempergießereien;Elektro-Hängebahnen ;8;12
Eisen-, Stahl- u. Tempergießereien;Hebezeuge (unter 5 t Traglast) ;8;12
Eisen-, Stahl- u. Tempergießereien;Seilbahnen ;8;12
Eisen-, Stahl- u. Tempergießereien;Kompressoren einschl. Preßluftanlagen ;10;10
Eisen-, Stahl- u. Tempergießereien;Industrieroboter ;5;20
Eisen-, Stahl- u. Tempergießereien;Manipulator ;5;20
Eisen-, Stahl- u. Tempergießereien;Entstaubungsanlagen (soweit selbständig nutzbar) ;7;14
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Betriebsgebäude (massiv);50;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Entaschungsanlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Dampferzeugungsanlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kohlenförderungsanlagen einschl. Kräne ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kohlenstaubanlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Speisewasseraufbereitungsanlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Vorwärmeranlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kabel- und Verteilungsanlagen im Kraftwerk ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Rauchfilteranlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Rauchgasentschwefelungsanlagen ;13;7,7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Schornsteine ;40;2,5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Stickoxydminderungsanlagen ;13;7,7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Turbogeneratoraggregate ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Betriebsgebäude (massiv) mit Kraftwerkstiefbauten ;50;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Brücken aus Holz ;33;3
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Brücken aus Holz, Stahl ;60;1,5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kanäle aus Beton, Dämme, Stauseen ;60;1,5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kanäle aus Lehm, Kies ;50;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Pumpanlagen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Rohrleitungen einschl. Druckrohrleitungen ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Schalt-, Meß-, Regel-, Steuerungs- und Verteilungsanlagen im Kraftwerksbereich ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Stollen ;60;1,5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Turbinen und Generatoren mit Fundamenten ;22;4,5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Maschinelle Einrichtungen ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Verwaltungsgebäude ;50;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Betriebsgebäude ;40;2,5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Gleisanlagen ;32;3,13
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;andere Außenanlagen ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Reaktorgebäude mit Sicherheitshülle ;19;5,26
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Andere Bauwerke der Dampferzeugung soweit Betriebsvorrichtung ;19;5,26
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Reaktordruckgefäße mit Einbauten ;19;5,26
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Andere Anlagen mit Hilfsanlagen der Dampferzeugung ;19;5,26
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Anlagen zur Lagerung von Brennelementen ;19;5,26
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Maschinenhäuser soweit Betriebsvorrichtung ;40;2,5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Turbogeneratorenaggregate ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Anlagen und Hilfsanlagen des Sekundärkreislaufs ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Meß-, Regel-, Steuer- und Überwachungsanlagen ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Vorwärmeanlagen ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Andere Anlagen der Kühlwasserversorgung ;23;4,35
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kabel-, Verteilungs- und Schaltanlagen im Kraftwerk ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Aggregate ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Datenverarbeitungsanlagen ;8;12
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Akkumulatoren ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Betriebsgebäude (Schalt- und Umspannwerke) massiv ;50;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Dieselmotoren für Not- und Spitzenstromerzeugung ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Fernsteuerungsanlagen (autom.) ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Gleichrichteranlagen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Cu/Alu mit Eisen- und Betonmasten ü. 50 kV ;35;3
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Cu/Alu mit Eisen- und Betonmasten 20 kV bis 50 kV ;30;3,3
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Cu/Alu mit überwiegend Holzmasten bis 20 kV ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;als Hochspannungskabel ;35;3
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Niederspannungskabel außer Alu-Mantelkabel (Ortsnetze) ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Niederspannungsfreileitungen mit überwiegend Holzmasten ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Prüf-, Eich- und Meßgeräte ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Meß-, Regel- und Steuerungsanlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Straßenbeleuchtungsanlagen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Trafostationshäuser ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Umformeranlagen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Zähler ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Untertagegasspeicher ;33;3
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Dampfkessel und Tankanlagen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;langsam lfd. ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;schnell lfd. ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Gaskühler, Zwischenkühler, Umlaufregler, Naphtalin-, Ammoniak- und Benzolwäscher, Reinigungsanlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Gasbehälter (Gaskessel) ;50;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Gaszähler ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Hausdruckregler ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Hochdruckkompressoren, Hochdruckgeneratoren und Hochdruckreinigungsanlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Leitungen aus säurebeständigem Material im Werk ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Leitungen für Teer, Ammoniak, ungereinigtes Gas, Säuren, Laugen im Werk ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Meß- und Laboratoriumsanlagen ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Mühlen, Brecher, Rutschen für Koks ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Ober- und Unterbauten (einschl. Armaturen) ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Einbauten (Retorten, Rekuperatoren, Regeneratoren) ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;für Wasser ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;für Teer, Benzol, Säuren und Laugen ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Raffinations- und Destillationsanlagen ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Regleranlagen (für Ortsrohrnetze) ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Hochdruckrohrleitungen einschl. Hochdruckbehälter ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Straßenbeleuchtungsanlagen (Kandelaber u. Anschlußleitung) ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;für heiße Koks, Löschtürme, Trockenlöschanlagen ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;für Kohle und kalten Koks ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Verschiebebühnen, Krananlagen ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Wasser- und Dampfleitungen im Werk ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Pumpen für Heißwasserkreislauf ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Mobile Heizwerke ;12;8
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kanalverlegte Leitungen ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Erdverlegte Leitungen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Freileitungen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Druckerhöhungsanlagen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Übergabestationen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Behälter ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Rohre ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Schieber ;25;4
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kolben- ;15;7
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Kreisel- ;10;10
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Quellfaß- ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Rohrbrunnen ;12;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Sammelbecken (Sammelbrunnen, Wasserschloß aus Beton) ;50;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Schachtbrunnen oh. Filter (Beton oder Mauerwerk) ;50;2
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Wasseraufbereitungs- und -reinigungsanlagen ;20;5
Energie- und Wasserversorgung Werke, die für die öffentliche Versorgung bestimmt sind;Wasserzähler ;15;7
Erdölgewinnung;Bohrtürme (vollständig) ;9;11
Erdölgewinnung;Hebewerke ;10;10
Erdölgewinnung;Vorgelege/Antriebsgruppe ;10;10
Erdölgewinnung;Spülpumpen ;8;12
Erdölgewinnung;Antriebsmotoren ;8;12
Erdölgewinnung;Drehtische ;8;12
Erdölgewinnung;Aggregate für Strom, Wasser, Preßluft-Hydraulik, Spülung und Zementierung ;7;14
Erdölgewinnung;Absperrvorrichtungen ;6;17
Erdölgewinnung;Kauen und Buden (transportabel) ;5;20
Erdölgewinnung;Schürf- und Kernbohrgeräte ;6;17
Erdölgewinnung;Transport- und Aufbaugeräte ;8;12
Erdölgewinnung;bei Gruppenabschreibung zu 1.1 - 1.11 ;8;12
Erdölgewinnung;Werkzeuge, z.B. Rohr- und Gestängezangen, Mitnehmer-, Schwerstangen, Gestänge, Kernwerkzeuge, Fang- und Schneidewerkzeuge, Richt- und  Ablenkwerkzeuge, Meßgeräte ;4;25
Erdölgewinnung;Fördermasten (fahrbar) ;10;10
Erdölgewinnung;Antriebe einschl. Motoren ;10;10
Erdölgewinnung;Bohrlochverschlüsse ;8;12
Erdölgewinnung;Steigrohre (bei Aktivierung der neu- oder ersatzbeschafften Steigrohre) ;6;1
Erdölgewinnung;Pumpgestänge ;8;12
Erdölgewinnung;Meßgeräte ;8;12
Erdölgewinnung;elektr. Schalteinrichtungen ;10;10
Erdölgewinnung;bei Gruppenabschreibung zu 2.1.1 - 2.1.7 ;8;12
Erdölgewinnung;bei Aktivierung sämtl. Neuzugänge und Ersatzbeschaffungen ;8;12
Erdölgewinnung;andernfalls nach der wirtschaftl. Nutzung des Feldes;-;-
Erdölgewinnung;Gasabscheider ;10;10
Erdölgewinnung;Sammelbehälter ;10;10
Erdölgewinnung;Transportpumpen ;7;14
Erdölgewinnung;Gas-, Meß- und Reduzierstationen ;7;14
Erdölgewinnung;bei Gruppenabschreibung zu 2.3.1 - 2.3.4 ;8;12
Erdölgewinnung;Transport- und Verladeeinrichtungen für Rohöl ;10;10
Erdölgewinnung;Öl-, Gas- und Wasseraufbereitungsanlagen ;10;10
Erdölgewinnung;Aufwältigungs- und Reinigungswinden ;10;10
Erdölgewinnung;Gasolinanlagen ;10;10
Erdölverarbeitung;Entsalzungsanlagen;12;8
Erdölverarbeitung;Destillationsanlagen (Druck-, atmosphärische und Vakuumdestillation) ;12;8
Erdölverarbeitung;Krackanlagen (thermisch u. katalytisch) ;10;10
Erdölverarbeitung;Benzin-Raffinations- und Benzinentschwefelungsanlagen ;10;10
Erdölverarbeitung;"Benzinveredelungsanlagen (Reformierung, z.B. Platformer; Polymerisation, Isomerisation Alkylierung, Extraktion) ";8;12
Erdölverarbeitung;Petroleum-Raffinationsanlagen (Entschwefelung, Säure- und Selektivbehandlung) ;8;12
Erdölverarbeitung;Entschwefelung ;8;12
Erdölverarbeitung;Entparaffinierung ;10;10
Erdölverarbeitung;Entparaffinierung, Filter- und Kontaktverfahren ;10;10
Erdölverarbeitung;Säure- und Selektivbehandlung ;8;12
Erdölverarbeitung;Entparaffinierungsanlagen und Paraffingewinnung ;10;10
Erdölverarbeitung;Selektivbehandlung ;8;12
Erdölverarbeitung;Heizölentschwefelungsanlagen ;8;12
Erdölverarbeitung;Oxydation ;12;8
Erdölverarbeitung;Rückstandsverkokung ;10;10
Erdölverarbeitung;Gasfraktionierung, -entschwefelung, -krackung, -dehydrierung ;8;12
Erdölverarbeitung;Gastrennung, Benzinrückgewinnung, Stabilisierung ;10;10
Erdölverarbeitung;Schwefel- und Schwefelsäuregewinnungsanlagen ;8;12
Erdölverarbeitung;Altölaufbereitungsanlagen ;12;8
Erdölverarbeitung;"Rohrleitungen bis zum Tankfeld einschl. der Pumpen und Verladeeinrichtungen für Schiene, Straße und Wasser; Feuerlöschsysteme, Blow-down-Anlagen, Mischanlagen, Rücklauftanks ";12;8
Erdölverarbeitung;Schwimmdachtanks und Drucktanks (Flüssiggastanks) ;20;5
Erdölverarbeitung;andere Tanks;25;4
Erfrischungsgetränke- und Mineralbrunnenindustrie;Quellen und Brunnenanlagen;15;7
Erfrischungsgetränke- und Mineralbrunnenindustrie;Quellenpumpen ;7;14
Erfrischungsgetränke- und Mineralbrunnenindustrie;Trinkwasseraufbereitungsanlagen ;8;12
Erfrischungsgetränke- und Mineralbrunnenindustrie;Anlagen zum Entzug von Eisen, Schwefel und Kohlensäure ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Thermalwasserkühlanlagen ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Neutralisierungsanlagen ;8;12
Erfrischungsgetränke- und Mineralbrunnenindustrie;Entkeimungsanlagen ;8;12
Erfrischungsgetränke- und Mineralbrunnenindustrie;Alu, Stahl ;12;8
Erfrischungsgetränke- und Mineralbrunnenindustrie;Zuckersiloanlagen ;8;12
Erfrischungsgetränke- und Mineralbrunnenindustrie;Kohlensäuretanks ;10;10
Erfrischungsgetränke- und Mineralbrunnenindustrie;Kohlensäureleitungen ;10;10
Erfrischungsgetränke- und Mineralbrunnenindustrie;Filter ;7;14
Erfrischungsgetränke- und Mineralbrunnenindustrie;für Behälter und Füllanlagen ;7;14
Erfrischungsgetränke- und Mineralbrunnenindustrie;für Leitungen und Gefäße ;6;17
Erfrischungsgetränke- und Mineralbrunnenindustrie;Pasteurisieranlagen, Rückkühlanlagen ;8;12
Erfrischungsgetränke- und Mineralbrunnenindustrie;Kastenwascher ;6;17
Erfrischungsgetränke- und Mineralbrunnenindustrie;Flaschenreinigungsmaschinen ;6;17
Erfrischungsgetränke- und Mineralbrunnenindustrie;Flaschenfüllanlagen komplett (einschl. Waschanlagen) ;6;17
Erfrischungsgetränke- und Mineralbrunnenindustrie;Dosenverpackungsmaschinen ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Meß-, Steuer- und Regelanlagen ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Thekenzapfanlagen, Premixgeräte und Postmixgeräte ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Heißgetränke- und Kühlautomaten ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Kronenkorkverschließmaschinen ;6;17
Erfrischungsgetränke- und Mineralbrunnenindustrie;Abschraub- und Schraubverschließmaschinen ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Förderanlagen und Einblasvorrichtungen für Kronenkork- und Schraubverschlüsse ;6;17
Erfrischungsgetränke- und Mineralbrunnenindustrie;Flascheneinpack- und -auspackmaschinen ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Palettier- und Entpalettiermaschinen ;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Flaschen- und Kastentransportanlagen (Plattentransporteure, Rollenbänder) ;6;17
Erfrischungsgetränke- und Mineralbrunnenindustrie;Kohlensäurekompressoren;5;20
Erfrischungsgetränke- und Mineralbrunnenindustrie;Sonstige Pumpen ;8;12
Erfrischungsgetränke- und Mineralbrunnenindustrie;Sonstige Kühlanlagen ;8;12
Essig- und Senffabrikation;Essigbildner aller Systeme einschl. Armaturen, Aufgußvorrichtung, Pumpen, Kühlvorrichtung usw. (Säureeinwirkung);10;10
Essig- und Senffabrikation;Lagerbehälter, Maische- und Abfüllbottiche (Säureeinwirkung) ;7;14
Essig- und Senffabrikation;"Essigpumpen (stationär und fahrbar; Säureeinwirkung) ";5;20
Essig- und Senffabrikation;Essigfilter (Säureeinwirkung) ;5;20
Essig- und Senffabrikation;Flascheneinweichräder ;5;20
Essig- und Senffabrikation;Flascheneinweichkübel ;5;20
Essig- und Senffabrikation;bürstenlose Maschinen ;5;20
Essig- und Senffabrikation;Ausspritzer ;5;20
Essig- und Senffabrikation;Ablaufgeräte;5;20
Essig- und Senffabrikation;Flaschenverschlußmaschinen ;5;20
Essig- und Senffabrikation;Senfsaaten-Reinigungsmaschinen ;10;10
Essig- und Senffabrikation;Kuchenbrecher ;10;10
Essig- und Senffabrikation;Mühlen (f. Senfmehlherstellung) ;10;10
